plr_id,plr_name,bez_id,bez_name,pgr_id,pgr_name,bzr_id,bzr_name,svb_vollzeit,median_gross_income,median_rent,cases,average_rent,median_net_income,is_affordable_avg_person,is_affordable_buergergeld,rent_burden_avg_person,rent_burden_buergergeld,population,gap_rent_avg_person,gap_rent_buergergeld
2500729,Pettenkofer Straße,2,Friedrichshain-Kreuzberg,250,Friedrichshain Ost,25007,Frankfurter Allee Nord,1799,4935.0,9.49,59,9.45,3602.55,True,False,0.2310126582278481,0.482706002034588,5448,138.38964799999997,-3.5920000000000005
2500830,Niederbarnim-straße,2,Friedrichshain-Kreuzberg,250,Friedrichshain Ost,25008,Frankfurter Allee Süd FK,1282,4810.0,9.9,96,9.56,3511.3,True,False,0.2409931840311587,0.503560528992879,4106,137.97964799999997,-4.002000000000001
2500831,Wismarplatz,2,Friedrichshain-Kreuzberg,250,Friedrichshain Ost,25008,Frankfurter Allee Süd FK,2490,4327.0,9.0,76,8.97,3158.71,True,False,0.21908471275559882,0.4577822990844354,7905,138.87964799999997,-3.1020000000000003
2500832,Traveplatz,2,Friedrichshain-Kreuzberg,250,Friedrichshain Ost,25008,Frankfurter Allee Süd FK,3205,4812.0,8.86,111,9.1,3512.76,True,False,0.21567672833495619,0.4506612410986775,9551,139.01964799999996,-2.9619999999999997
2500833,Boxhagener Platz,2,Friedrichshain-Kreuzberg,250,Friedrichshain Ost,25008,Frankfurter Allee Süd FK,3375,4743.0,9.98,126,9.65,3462.39,True,False,0.24294060370009737,0.5076297049847406,10303,137.89964799999998,-4.082000000000001
2500834,Revaler Straße,2,Friedrichshain-Kreuzberg,250,Friedrichshain Ost,25008,Frankfurter Allee Süd FK,3752,4898.0,10.0,122,9.88,3575.54,True,False,0.24342745861733203,0.508646998982706,11444,137.87964799999997,-4.102
2500835,Stralauer Kiez,2,Friedrichshain-Kreuzberg,250,Friedrichshain Ost,25008,Frankfurter Allee Süd FK,2741,4685.0,8.04,96,8.27,3420.05,True,False,0.19571567672833493,0.4089521871820956,8730,139.83964799999998,-2.1419999999999995
2500836,Stralauer Halbinsel,2,Friedrichshain-Kreuzberg,250,Friedrichshain Ost,25008,Frankfurter Allee Süd FK,1442,5936.0,11.32,46,10.91,4333.28,True,False,0.2755598831548199,0.5757884028484231,4998,136.55964799999998,-5.422000000000001
3100101,Bucher Forst,3,Pankow,310,Buch,31001,Buch,1124,4134.0,7.62,107,7.19,3017.82,True,False,0.18549172346640702,0.387589013224822,4641,140.25964799999997,-1.7220000000000004
3100102,Klinikum Buch,3,Pankow,310,Buch,31001,Buch,637,3485.0,6.7,34,6.55,2544.05,True,False,0.16309639727361247,0.340793489318413,3407,141.179648,-0.8020000000000005
3100103,Karower Chaussee,3,Pankow,310,Buch,31001,Buch,1828,3070.0,5.86,52,6.09,2241.1,True,True,0.14264849074975658,0.2980671414038657,9683,142.01964799999996,0.03799999999999937
3200204,Blankenfelde,3,Pankow,320,Nördliches Pankow,32002,Blankenfelde/Niederschönhausen,457,,,,,,False,False,,,2455,,
3200205,Uhlandstraße,3,Pankow,320,Nördliches Pankow,32002,Blankenfelde/Niederschönhausen,2126,4355.0,7.56,105,7.68,3179.15,True,False,0.18403115871470302,0.38453713123092575,8931,140.31964799999997,-1.662
3200206,Pastor-Niemöller-Platz,3,Pankow,320,Nördliches Pankow,32002,Blankenfelde/Niederschönhausen,1503,4694.0,7.98,88,8.14,3426.62,True,False,0.19425511197663095,0.4059003051881994,6827,139.89964799999998,-2.0820000000000007
3200207,Herthaplatz,3,Pankow,320,Nördliches Pankow,32002,Blankenfelde/Niederschönhausen,3163,4328.0,7.5,169,7.51,3159.44,True,False,0.18257059396299902,0.3814852492370295,11581,140.37964799999997,-1.6020000000000003
3200308,Nisbléstraße,3,Pankow,320,Nördliches Pankow,32003,Buchholz,1502,4246.0,7.05,100,6.94,3099.58,True,False,0.1716163583252191,0.35859613428280773,5305,140.82964799999996,-1.1520000000000001
3200309,Eddastraße,3,Pankow,320,Nördliches Pankow,32003,Buchholz,1514,4093.0,7.12,22,7.17,2987.89,True,False,0.1733203505355404,0.3621566632756867,5455,140.75964799999997,-1.2220000000000004
3200310,Krugpfuhl,3,Pankow,320,Nördliches Pankow,32003,Buchholz,2309,3943.0,6.69,149,6.65,2878.39,True,False,0.16285296981499514,0.3402848423194303,8116,141.18964799999998,-0.7920000000000007
3300411,Karow Nord,3,Pankow,330,Nördliches Weißensee,33004,Karow,3109,3611.0,6.5,306,6.63,2636.03,True,False,0.15822784810126583,0.3306205493387589,11827,141.37964799999997,-0.6020000000000003
3300412,Karow Bahnhof,3,Pankow,330,Nördliches Weißensee,33004,Karow,1228,4521.0,6.87,20,6.59,3300.33,True,False,0.16723466407010712,0.349440488301119,5229,141.00964799999997,-0.9720000000000004
3300413,Karow Ost,3,Pankow,330,Nördliches Weißensee,33004,Karow,791,4274.0,,,,3120.02,False,False,,,3140,,
3300514,Blankenburg,3,Pankow,330,Nördliches Weißensee,33005,Blankenburg/Heinersdorf/Märchenland,,,6.8,3,6.83,,True,False,0.1655306718597858,0.34587995930824006,6892,141.07964799999996,-0.9020000000000001
3300515,Blankenburger Süden,3,Pankow,330,Nördliches Weißensee,33005,Blankenburg/Heinersdorf/Märchenland,,,,,,,False,False,,,52,,
