bez_id;bez_name;pgr_id;pgr_name;bzr_id;bzr_name;plr_id;plr
02;Friedrichshain-Kreuzberg;0240;Friedrichshain West;024005;Karl-Marx-Allee Nord;02400520;Barnimkiez
02;Friedrichshain-Kreuzberg;0240;Friedrichshain West;024005;Karl-Marx-Allee Nord;02400521;Friedenstraße
02;Friedrichshain-Kreuzberg;0240;Friedrichshain West;024005;Karl-Marx-Allee Nord;02400522;Richard-Sorge-Viertel
02;Friedrichshain-Kreuzberg;0240;Friedrichshain West;024006;Karl-Marx-Allee Süd;02400623;Andreasviertel
02;Friedrichshain-Kreuzberg;0240;Friedrichshain West;024006;Karl-Marx-Allee Süd;02400624;Weberwiese
02;Friedrichshain-Kreuzberg;0240;Friedrichshain West;024006;Karl-Marx-Allee Süd;02400625;Wriezener Bahnhof
02;Friedrichshain-Kreuzberg;0250;Friedrichshain Ost;025007;Frankfurter Allee Nord;02500726;Hausburgviertel
02;Friedrichshain-Kreuzberg;0250;Friedrichshain Ost;025007;Frankfurter Allee Nord;02500727;Forckenbeckplatz
02;Friedrichshain-Kreuzberg;0250;Friedrichshain Ost;025007;Frankfurter Allee Nord;02500728;Samariterviertel
02;Friedrichshain-Kreuzberg;0250;Friedrichshain Ost;025007;Frankfurter Allee Nord;02500729;Pettenkofer Straße
02;Friedrichshain-Kreuzberg;0250;Friedrichshain Ost;025008;Frankfurter Allee Süd FK;02500830;Niederbarnimstraße
02;Friedrichshain-Kreuzberg;0250;Friedrichshain Ost;025008;Frankfurter Allee Süd FK;02500831;Wismarplatz
02;Friedrichshain-Kreuzberg;0250;Friedrichshain Ost;025008;Frankfurter Allee Süd FK;02500832;Traveplatz
02;Friedrichshain-Kreuzberg;0250;Friedrichshain Ost;025008;Frankfurter Allee Süd FK;02500833;Boxhagener Platz
02;Friedrichshain-Kreuzberg;0250;Friedrichshain Ost;025008;Frankfurter Allee Süd FK;02500834;Revaler Straße
02;Friedrichshain-Kreuzberg;0250;Friedrichshain Ost;025008;Frankfurter Allee Süd FK;02500835;Stralauer Kiez
02;Friedrichshain-Kreuzberg;0250;Friedrichshain Ost;025008;Frankfurter Allee Süd FK;02500836;Stralauer Halbinsel
03;Pankow;0310;Buch;031001;Buch;03100101;Bucher Forst
03;Pankow;0310;Buch;031001;Buch;03100102;Klinikum Buch
03;Pankow;0310;Buch;031001;Buch;03100103;Karower Chaussee
