bez_id,bez_name,pgr_id,pgr_name,bzr_id,bzr_name,plr_id,plr_name,year,median,cases,average
03,Pankow,0310,Buch,031001,Buch,03100103,Karower Chaussee,2024,7.68,44.0,7.78
03,Pankow,0320,Nördliches Pankow,032002,Blankenfelde/Niederschönhausen,03200204,Blankenfelde,2024,14.14,8.0,16.03
03,Pankow,0320,Nördliches Pankow,032002,Blankenfelde/Niederschönhausen,03200205,Uhlandstraße,2024,14.93,35.0,14.87
03,Pankow,0320,Nördliches Pankow,032002,Blankenfelde/Niederschönhausen,03200206,Pastor-Niemöller-Platz,2024,17.0,42.0,16.25
03,Pankow,0320,Nördliches Pankow,032002,Blankenfelde/Niederschönhausen,03200207,Herthaplatz,2024,14.0,64.0,15.17
03,Pankow,0320,Nördliches Pankow,032003,Buchholz,03200308,Nisbléstraße,2024,13.51,32.0,13.75
03,Pankow,0320,Nördliches Pankow,032003,Buchholz,03200309,Eddastraße,2024,13.38,11.0,15.48
03,Pankow,0320,Nördliches Pankow,032003,Buchholz,03200310,Krugpfuhl,2024,13.11,52.0,12.97
03,Pankow,0330,Nördliches Weißensee,033004,Karow,03300411,Karow Nord,2024,10.52,90.0,11.68
03,Pankow,0330,Nördliches Weißensee,033004,Karow,03300412,Karow Bahnhof,2024,11.88,10.0,12.98
03,Pankow,0330,Nördliches Weißensee,033004,Karow,03300413,Karow Ost,2024,,,
03,Pankow,0330,Nördliches Weißensee,033005,Blankenburg/Heinersdorf/Märchenland,03300514,Blankenburg,2024,14.1,7.0,15.51
03,Pankow,0330,Nördliches Weißensee,033005,Blankenburg/Heinersdorf/Märchenland,03300515,Blankenburger Süden,2024,,,
03,Pankow,0330,Nördliches Weißensee,033005,Blankenburg/Heinersdorf/Märchenland,03300516,Heinersdorf,2024,16.71,226.0,16.54
03,Pankow,0330,Nördliches Weißensee,033005,Blankenburg/Heinersdorf/Märchenland,03300517,Märchenland,2024,,,
03,Pankow,0340,Südliches Pankow,034006,Schönholz/Wilhelmsruh/Rosenthal,03400618,Rosenthal,2024,14.89,51.0,14.56
03,Pankow,0340,Südliches Pankow,034006,Schönholz/Wilhelmsruh/Rosenthal,03400619,Wilhelmsruh,2024,16.0,85.0,16.39
03,Pankow,0340,Südliches Pankow,034006,Schönholz/Wilhelmsruh/Rosenthal,03400620,Schönholz,2024,13.69,8.0,14.2
03,Pankow,0340,Südliches Pankow,034007,Pankow Zentrum,03400721,Florakiez,2024,17.14,58.0,18.09
03,Pankow,0340,Südliches Pankow,034007,Pankow Zentrum,03400722,Parkstraße,2024,14.65,23.0,18.47
03,Pankow,0340,Südliches Pankow,034007,Pankow Zentrum,03400723,Garbátyplatz,2024,15.54,30.0,15.54
03,Pankow,0340,Südliches Pankow,034007,Pankow Zentrum,03400724,Wolfshagener Straße,2024,10.91,49.0,12.16
03,Pankow,0340,Südliches Pankow,034007,Pankow Zentrum,03400725,Schlosspark,2024,18.33,47.0,17.15
03,Pankow,0340,Südliches Pankow,034008,Pankow Süd,03400826,Tiroler Viertel,2024,23.64,25.0,20.89
03,Pankow,0340,Südliches Pankow,034008,Pankow Süd,03400827,Trelleborger Viertel,2024,16.0,44.0,17.49
03,Pankow,0340,Südliches Pankow,034008,Pankow Süd,03400828,Spiekermann Straße,2024,18.18,38.0,17.66
03,Pankow,0340,Südliches Pankow,034008,Pankow Süd,03400829,Arnold-Zweig-Straße,2024,10.31,34.0,11.78
03,Pankow,0340,Südliches Pankow,034008,Pankow Süd,03400830,Kissingenviertel,2024,12.0,22.0,13.61
03,Pankow,0340,Südliches Pankow,034008,Pankow Süd,03400831,Pankower Tor,2024,,,
03,Pankow,0350,Südliches Weißensee,035009,Weißensee,03500932,Bühringstraße,2024,17.59,27.0,17.7
03,Pankow,0350,Südliches Weißensee,035009,Weißensee,03500933,Weißer See,2024,23.23,48.0,20.51
03,Pankow,0350,Südliches Weißensee,035009,Weißensee,03500934,Weißenseer Spitze,2024,16.42,62.0,16.45
03,Pankow,0350,Südliches Weißensee,035009,Weißensee,03500935,Behaimstraße,2024,16.0,28.0,17.4
03,Pankow,0350,Südliches Weißensee,035009,Weißensee,03500936,Komponistenviertel Weißensee,2024,17.91,30.0,16.68
03,Pankow,0350,Südliches Weißensee,035010,Weißensee Ost,03501037,Rathaus Weißensee,2024,14.42,36.0,14.72
03,Pankow,0350,Südliches Weißensee,035010,Weißensee Ost,03501038,Hansastraße,2024,16.42,33.0,14.39
03,Pankow,0360,Nördlicher Prenzlauer Berg,036011,Prenzlauer Berg Nordwest,03601139,Norweger Viertel,2024,23.43,62.0,21.91
03,Pankow,0360,Nördlicher Prenzlauer Berg,036011,Prenzlauer Berg Nordwest,03601140,Malmöer Straße,2024,17.86,48.0,17.6
03,Pankow,0360,Nördlicher Prenzlauer Berg,036011,Prenzlauer Berg Nordwest,03601141,Arnimplatz,2024,24.96,106.0,22.82
03,Pankow,0360,Nördlicher Prenzlauer Berg,036011,Prenzlauer Berg Nordwest,03601142,Falkplatz,2024,18.75,80.0,19.57
03,Pankow,0360,Nördlicher Prenzlauer Berg,036012,Prenzlauer Berg Nord,03601243,Rodenbergstraße,2024,20.99,36.0,21.89
03,Pankow,0360,Nördlicher Prenzlauer Berg,036012,Prenzlauer Berg Nord,03601244,Humannplatz,2024,15.02,27.0,15.76
03,Pankow,0360,Nördlicher Prenzlauer Berg,036012,Prenzlauer Berg Nord,03601245,Ostseestraße,2024,17.38,48.0,17.84
03,Pankow,0360,Nördlicher Prenzlauer Berg,036013,Helmholtzplatz,03601346,Gethsemanekirche,2024,22.64,51.0,22.77
03,Pankow,0360,Nördlicher Prenzlauer Berg,036013,Helmholtzplatz,03601347,Helmholtzplatz,2024,19.0,38.0,19.34
03,Pankow,0360,Nördlicher Prenzlauer Berg,036013,Helmholtzplatz,03601348,Senefelderstraße,2024,19.56,43.0,20.65
03,Pankow,0360,Nördlicher Prenzlauer Berg,036014,Prenzlauer Berg Ost,03601449,Michelangelostraße,2024,7.5,7.0,9.37
03,Pankow,0360,Nördlicher Prenzlauer Berg,036014,Prenzlauer Berg Ost,03601450,Volkspark Prenzlauer Berg,2024,10.82,7.0,14.26
03,Pankow,0360,Nördlicher Prenzlauer Berg,036014,Prenzlauer Berg Ost,03601451,Anton-Saefkow-Park,2024,20.0,28.0,20.65
03,Pankow,0360,Nördlicher Prenzlauer Berg,036014,Prenzlauer Berg Ost,03601452,Velodrom,2024,23.78,53.0,22.44
03,Pankow,0360,Nördlicher Prenzlauer Berg,036014,Prenzlauer Berg Ost,03601453,Alter Schlachthof,2024,20.84,11.0,20.06
03,Pankow,0370,Südlicher Prenzlauer Berg,037015,Prenzlauer Berg Südwest,03701554,Teutoburger Platz,2024,22.0,63.0,22.0
03,Pankow,0370,Südlicher Prenzlauer Berg,037015,Prenzlauer Berg Südwest,03701555,Sredzkistraße,2024,19.0,40.0,19.39
03,Pankow,0370,Südlicher Prenzlauer Berg,037015,Prenzlauer Berg Südwest,03701556,Kollwitzplatz,2024,18.16,67.0,20.51
03,Pankow,0370,Südlicher Prenzlauer Berg,037016,Prenzlauer Berg Süd,03701657,Thälmannpark,2024,19.15,42.0,17.72
03,Pankow,0370,Südlicher Prenzlauer Berg,037016,Prenzlauer Berg Süd,03701658,Christburger Straße,2024,19.99,34.0,20.0
03,Pankow,0370,Südlicher Prenzlauer Berg,037016,Prenzlauer Berg Süd,03701659,Immanuelkirchstraße,2024,19.88,57.0,19.43
03,Pankow,0370,Südlicher Prenzlauer Berg,037016,Prenzlauer Berg Süd,03701660,Bötzowstraße,2024,15.0,44.0,17.54
04,Charlottenburg-Wilmersdorf,0410,Charlottenburg Nord,041001,Charlottenburg Nord,04100101,Jungfernheide/Plötzensee,2024,9.78,51.0,12.64
04,Charlottenburg-Wilmersdorf,0410,Charlottenburg Nord,041001,Charlottenburg Nord,04100102,Paul-Hertz-Siedlung,2024,7.22,46.0,7.41
04,Charlottenburg-Wilmersdorf,0420,Charlottenburg West,042002,Heerstraße,04200203,Olympiagelände,2024,17.14,6.0,17.05
04,Charlottenburg-Wilmersdorf,0420,Charlottenburg West,042002,Heerstraße,04200204,Angerburger Allee,2024,9.7,64.0,12.07
04,Charlottenburg-Wilmersdorf,0420,Charlottenburg West,042002,Heerstraße,04200205,Flatowallee,2024,19.5,27.0,19.76
04,Charlottenburg-Wilmersdorf,0420,Charlottenburg West,042002,Heerstraße,04200206,Kranzallee,2024,14.63,15.0,12.8
04,Charlottenburg-Wilmersdorf,0420,Charlottenburg West,042002,Heerstraße,04200207,Eichkamp,2024,,,
04,Charlottenburg-Wilmersdorf,0420,Charlottenburg West,042003,Westend,04200308,Branitzer Platz,2024,16.17,17.0,16.16
04,Charlottenburg-Wilmersdorf,0420,Charlottenburg West,042003,Westend,04200309,Neu Westend,2024,13.47,39.0,14.31
04,Charlottenburg-Wilmersdorf,0420,Charlottenburg West,042003,Westend,04200310,Fürstenplatz,2024,16.0,26.0,15.94
