plr_id,plr_name,svb_vollzeit,medianeinkommen,bez_id,bez_name,pgr_id,pgr_name,bzr_id,bzr_name
3200308,Nisbléstraße,1502,4246,3,Pankow,320,Nördliches Pankow,32003,Buchholz
3200309,Eddastraße,1514,4093,3,Pankow,320,Nördliches Pankow,32003,Buchholz
3200310,Krugpfuhl,2309,3943,3,Pankow,320,Nördliches Pankow,32003,Buchholz
3300411,Karow Nord,3109,3611,3,Pankow,330,Nördliches Weißensee,33004,Karow
3300412,Karow Bahnhof,1228,4521,3,Pankow,330,Nördliches Weißensee,33004,Karow
3300413,Karow Ost,791,4274,3,Pankow,330,Nördliches Weißensee,33004,Karow
3300514,Blankenburg,,,3,Pankow,330,Nördliches Weißensee,33005,Blankenburg/Heinersdorf/Märchenland
3300515,Blankenburger Süden,,,3,Pankow,330,Nördliches Weißensee,33005,Blankenburg/Heinersdorf/Märchenland
3300516,Heinersdorf,1586,4286,3,Pankow,330,Nördliches Weißensee,33005,Blankenburg/Heinersdorf/Märchenland
3300517,Märchenland,2306,4332,3,Pankow,330,Nördliches Weißensee,33005,Blankenburg/Heinersdorf/Märchenland
3400618,Rosenthal,1205,4352,3,Pankow,340,Südliches Pankow,34006,Schönholz/Wilhelmsruh/Rosenthal
3400619,Wilhelmsruh,2789,4320,3,Pankow,340,Südliches Pankow,34006,Schönholz/Wilhelmsruh/Rosenthal
3400620,Schönholz,679,5107,3,Pankow,340,Südliches Pankow,34006,Schönholz/Wilhelmsruh/Rosenthal
3400721,Florakiez,3217,4946,3,Pankow,340,Südliches Pankow,34007,Pankow Zentrum
3400722,Parkstraße,892,5273,3,Pankow,340,Südliches Pankow,34007,Pankow Zentrum
3400723,Garbátyplatz,2134,4265,3,Pankow,340,Südliches Pankow,34007,Pankow Zentrum
3400724,Wolfshagener Straße,2095,4032,3,Pankow,340,Südliches Pankow,34007,Pankow Zentrum
3400725,Schlosspark,1754,3755,3,Pankow,340,Südliches Pankow,34007,Pankow Zentrum
3400826,Tiroler Viertel,1918,4171,3,Pankow,340,Südliches Pankow,34008,Pankow Süd
3400827,Trelleborger Viertel,2853,4420,3,Pankow,340,Südliches Pankow,34008,Pankow Süd
3400828,Spiekermann Straße,1555,4378,3,Pankow,340,Südliches Pankow,34008,Pankow Süd
3400829,Arnold-Zweig-Straße,1548,4079,3,Pankow,340,Südliches Pankow,34008,Pankow Süd
3400830,Kissingenviertel,,,3,Pankow,340,Südliches Pankow,34008,Pankow Süd
3400831,Pankower Tor,,,3,Pankow,340,Südliches Pankow,34008,Pankow Süd
3500932,Bühringstraße,1695,3822,3,Pankow,350,Südliches Weißensee,35009,Weißensee
3500933,Weißer See,1965,4311,3,Pankow,350,Südliches Weißensee,35009,Weißensee
3500934,Weißenseer Spitze,3268,4274,3,Pankow,350,Südliches Weißensee,35009,Weißensee
3500935,Behaimstraße,1942,4267,3,Pankow,350,Südliches Weißensee,35009,Weißensee
3500936,Komponistenviertel Weißensee,2653,4250,3,Pankow,350,Südliches Weißensee,35009,Weißensee
3501037,Rathaus Weißensee,2282,3502,3,Pankow,350,Südliches Weißensee,35010,Weißensee Ost
3501038,Hansastraße,1884,3782,3,Pankow,350,Südliches Weißensee,35010,Weißensee Ost
3601139,Norweger Viertel,1135,4536,3,Pankow,360,Nördlicher Prenzlauer Berg,36011,Prenzlauer Berg Nordwest
3601140,Malmöer Straße,1863,5007,3,Pankow,360,Nördlicher Prenzlauer Berg,36011,Prenzlauer Berg Nordwest
3601141,Arnimplatz,1995,4990,3,Pankow,360,Nördlicher Prenzlauer Berg,36011,Prenzlauer Berg Nordwest
3601142,Falkplatz,3103,5109,3,Pankow,360,Nördlicher Prenzlauer Berg,36011,Prenzlauer Berg Nordwest
3601243,Rodenbergstraße,2210,4791,3,Pankow,360,Nördlicher Prenzlauer Berg,36012,Prenzlauer Berg Nord
3601244,Humannplatz,2341,4600,3,Pankow,360,Nördlicher Prenzlauer Berg,36012,Prenzlauer Berg Nord
3601245,Ostseestraße,4273,4182,3,Pankow,360,Nördlicher Prenzlauer Berg,36012,Prenzlauer Berg Nord
3601346,Gethsemanekirche,1774,5386,3,Pankow,360,Nördlicher Prenzlauer Berg,36013,Helmholtzplatz
3601347,Helmholtzplatz,2504,5248,3,Pankow,360,Nördlicher Prenzlauer Berg,36013,Helmholtzplatz
3601348,Senefelderstraße,2229,5266,3,Pankow,360,Nördlicher Prenzlauer Berg,36013,Helmholtzplatz
3601449,Michelangelostraße,2017,3402,3,Pankow,360,Nördlicher Prenzlauer Berg,36014,Prenzlauer Berg Ost
3601450,Volkspark Prenzlauer Berg,756,3401,3,Pankow,360,Nördlicher Prenzlauer Berg,36014,Prenzlauer Berg Ost
3601451,Anton-Saefkow-Park,2073,4743,3,Pankow,360,Nördlicher Prenzlauer Berg,36014,Prenzlauer Berg Ost
3601452,Velodrom,1447,4472,3,Pankow,360,Nördlicher Prenzlauer Berg,36014,Prenzlauer Berg Ost
3601453,Alter Schlachthof,909,6438,3,Pankow,360,Nördlicher Prenzlauer Berg,36014,Prenzlauer Berg Ost
3701554,Teutoburger Platz,3014,5667,3,Pankow,370,Südlicher Prenzlauer Berg,37015,Prenzlauer Berg Südwest
3701555,Sredzkistraße,2041,5508,3,Pankow,370,Südlicher Prenzlauer Berg,37015,Prenzlauer Berg Südwest
3701556,Kollwitzplatz,2523,5977,3,Pankow,370,Südlicher Prenzlauer Berg,37015,Prenzlauer Berg Südwest
3701657,Thälmannpark,786,4521,3,Pankow,370,Südlicher Prenzlauer Berg,37016,Prenzlauer Berg Süd
3701658,Christburger Straße,2379,5058,3,Pankow,370,Südlicher Prenzlauer Berg,37016,Prenzlauer Berg Süd
3701659,Immanuelkirchstraße,2712,5309,3,Pankow,370,Südlicher Prenzlauer Berg,37016,Prenzlauer Berg Süd
3701660,Bötzowstraße,3462,5266,3,Pankow,370,Südlicher Prenzlauer Berg,37016,Prenzlauer Berg Süd
4100101,Jungfernheide/ Plötzensee,2561,3286,4,Charlottenburg-Wilmersdorf,410,Charlottenburg Nord,41001,Charlottenburg Nord
4100102,Paul-Hertz-Siedlung,1378,3229,4,Charlottenburg-Wilmersdorf,410,Charlottenburg Nord,41001,Charlottenburg Nord
4200203,Olympiagelände,260,,4,Charlottenburg-Wilmersdorf,420,Charlottenburg West,42002,Heerstraße
4200204,Angerburger Allee,621,4196,4,Charlottenburg-Wilmersdorf,420,Charlottenburg West,42002,Heerstraße
