bez_id,pgr_id,plr_id,total,under_6,6-15,15-18,18-27,27-45,45-55,55-65,65_or_more,female,foreigner,year,bzr_id
2,240,2400522,11223.0,772.0,747.0,164.0,882.0,4899.0,1430.0,996.0,1333.0,5616.0,2203.0,2021,
2,240,2400623,13383.0,877.0,846.0,247.0,1535.0,4807.0,1307.0,1267.0,2497.0,6712.0,4199.0,2021,
2,240,2400624,11459.0,553.0,679.0,182.0,1439.0,4750.0,1486.0,1091.0,1279.0,5400.0,2947.0,2021,
2,240,2400625,1093.0,43.0,98.0,33.0,130.0,635.0,73.0,55.0,26.0,497.0,653.0,2021,
2,250,2500726,9247.0,557.0,577.0,140.0,874.0,4804.0,1111.0,685.0,499.0,4348.0,2471.0,2021,
2,250,2500727,6586.0,447.0,430.0,110.0,605.0,3141.0,839.0,513.0,501.0,3177.0,1683.0,2021,
2,250,2500728,10036.0,675.0,708.0,191.0,886.0,5059.0,1405.0,711.0,401.0,4885.0,2394.0,2021,
2,250,2500729,5444.0,401.0,442.0,85.0,467.0,2601.0,727.0,402.0,319.0,2609.0,1233.0,2021,
2,250,2500830,3914.0,234.0,217.0,59.0,402.0,1929.0,542.0,295.0,236.0,1885.0,1105.0,2021,
2,250,2500831,7841.0,474.0,544.0,97.0,779.0,3907.0,996.0,632.0,412.0,3770.0,2175.0,2021,
2,250,2500832,9115.0,715.0,645.0,160.0,851.0,4906.0,1011.0,505.0,322.0,4320.0,2786.0,2021,
2,250,2500833,10186.0,606.0,484.0,113.0,989.0,5651.0,1300.0,704.0,339.0,4833.0,2971.0,2021,
2,250,2500834,11444.0,760.0,822.0,174.0,1168.0,5624.0,1667.0,761.0,468.0,5442.0,2848.0,2021,
2,250,2500835,7931.0,501.0,485.0,76.0,863.0,4092.0,835.0,543.0,536.0,3709.0,2330.0,2021,
2,250,2500836,4863.0,470.0,499.0,98.0,242.0,1790.0,742.0,471.0,551.0,2405.0,540.0,2021,
3,310,3100101,4592.0,377.0,449.0,85.0,343.0,1390.0,615.0,604.0,729.0,2174.0,520.0,2021,
3,310,3100102,3180.0,216.0,230.0,73.0,272.0,904.0,323.0,391.0,771.0,1622.0,669.0,2021,
3,310,3100103,8856.0,602.0,841.0,251.0,749.0,2074.0,916.0,1051.0,2372.0,4670.0,1204.0,2021,
3,320,3200204,2113.0,94.0,207.0,47.0,119.0,365.0,323.0,395.0,563.0,1035.0,105.0,2021,
3,320,3200205,8751.0,485.0,809.0,251.0,862.0,1941.0,1386.0,1325.0,1692.0,4578.0,827.0,2021,
3,320,3200206,6406.0,408.0,672.0,200.0,572.0,1585.0,1058.0,845.0,1066.0,3280.0,858.0,2021,
3,320,3200207,11427.0,708.0,1239.0,336.0,788.0,2900.0,1804.0,1682.0,1970.0,5837.0,1162.0,2021,
3,320,3200308,5193.0,278.0,554.0,148.0,385.0,1135.0,797.0,943.0,953.0,2643.0,297.0,2021,
3,320,3200309,5286.0,332.0,561.0,157.0,365.0,1197.0,783.0,892.0,999.0,2619.0,476.0,2021,
3,320,3200310,8018.0,541.0,797.0,270.0,579.0,1979.0,1082.0,1285.0,1485.0,4140.0,560.0,2021,
3,330,3300411,11592.0,991.0,1335.0,370.0,957.0,3189.0,1428.0,1472.0,1850.0,6042.0,1564.0,2021,
3,330,3300412,5137.0,269.0,415.0,120.0,299.0,958.0,712.0,1021.0,1343.0,2618.0,196.0,2021,
3,330,3300413,3092.0,139.0,327.0,93.0,201.0,546.0,482.0,606.0,698.0,1543.0,113.0,2021,
3,330,3300514,6860.0,337.0,682.0,204.0,405.0,1222.0,1028.0,1324.0,1658.0,3492.0,312.0,2021,
3,330,3300515,50.0,3.0,6.0,,3.0,13.0,,16.0,9.0,22.0,,2021,
3,330,3300516,7982.0,462.0,697.0,197.0,698.0,1900.0,1113.0,1335.0,1580.0,3861.0,1217.0,2021,
3,330,3300517,1118.0,37.0,92.0,28.0,42.0,173.0,154.0,228.0,364.0,551.0,18.0,2021,
3,340,3400618,4854.0,308.0,500.0,173.0,433.0,1038.0,794.0,840.0,768.0,2445.0,368.0,2021,
3,340,3400619,10371.0,569.0,857.0,279.0,838.0,2393.0,1502.0,1612.0,2321.0,5388.0,1059.0,2021,
3,340,3400620,3545.0,164.0,381.0,120.0,281.0,671.0,613.0,529.0,786.0,1830.0,346.0,2021,
3,340,3400721,11607.0,842.0,1414.0,365.0,888.0,3664.0,2035.0,1173.0,1226.0,6004.0,1383.0,2021,
3,340,3400722,3610.0,202.0,392.0,146.0,235.0,719.0,612.0,490.0,814.0,1992.0,280.0,2021,
3,340,3400723,7067.0,566.0,734.0,165.0,567.0,2593.0,942.0,683.0,817.0,3600.0,971.0,2021,
3,340,3400724,7584.0,479.0,688.0,167.0,647.0,1929.0,1077.0,1006.0,1591.0,4128.0,614.0,2021,
3,340,3400725,7416.0,431.0,683.0,143.0,531.0,1710.0,884.0,1037.0,1997.0,4043.0,574.0,2021,
3,340,3400826,6789.0,430.0,650.0,145.0,558.0,2052.0,923.0,816.0,1215.0,3584.0,1063.0,2021,
3,340,3400827,9659.0,610.0,780.0,185.0,748.0,3487.0,1439.0,1043.0,1367.0,4945.0,1554.0,2021,
3,340,3400828,4818.0,293.0,308.0,73.0,383.0,1799.0,590.0,530.0,842.0,2449.0,871.0,2021,
