bez_id,bez_name,pgr_id,pgr_name,plr_id,plr_name,total,under_6,6-15,15-18,18-27,27-45,45-55,55-65,65_or_more,female,foreigner
3,Pankow,302,Nördliches Pankow,3020203,Blankenfelde,2064,87.0,186.0,53.0,106.0,360.0,353.0,373,546,1017.0,62
3,Pankow,302,Nördliches Pankow,3020209,Niederschönhausen,15170,954.0,1498.0,444.0,1309.0,3685.0,2577.0,2064,2639,7848.0,1527
3,Pankow,302,Nördliches Pankow,3020210,Herthaplatz,11472,813.0,1143.0,313.0,771.0,3022.0,1907.0,1539,1964,5856.0,1024
3,Pankow,302,Nördliches Pankow,3020307,Buchholz,18259,1239.0,1838.0,523.0,1191.0,4291.0,2982.0,2909,3286,9304.0,1048
3,Pankow,303,Nördliches Weißensee,3030405,Karow Nord,11444,1045.0,1185.0,327.0,889.0,3267.0,1474.0,1385,1872,5924.0,1231
3,Pankow,303,Nördliches Weißensee,3030406,Alt-Karow,8235,388.0,714.0,223.0,536.0,1536.0,1361.0,1553,1924,4183.0,322
3,Pankow,303,Nördliches Weißensee,3030711,Blankenburg,6875,351.0,654.0,178.0,396.0,1258.0,1149.0,1264,1625,3466.0,201
3,Pankow,303,Nördliches Weißensee,3030715,Heinersdorf,7869,492.0,679.0,205.0,680.0,1780.0,1264.0,1210,1559,3799.0,1179
3,Pankow,303,Nördliches Weißensee,3030716,Märchenland,1120,38.0,70.0,38.0,43.0,165.0,181.0,228,357,568.0,9
3,Pankow,304,Südliches Pankow,3040508,Rosenthal,4551,264.0,490.0,150.0,397.0,904.0,842.0,745,759,2287.0,300
3,Pankow,304,Südliches Pankow,3040512,Wilhelmsruh,10354,586.0,839.0,282.0,853.0,2380.0,1683.0,1462,2269,5359.0,951
3,Pankow,304,Südliches Pankow,3040513,Schönholz,3424,158.0,388.0,113.0,300.0,661.0,595.0,498,711,1769.0,271
3,Pankow,304,Südliches Pankow,3040614,Pankow Zentrum,37024,2666.0,3758.0,927.0,2723.0,10925.0,5611.0,3951,6463,19618.0,3395
3,Pankow,304,Südliches Pankow,3040818,Pankow Süd,35345,2301.0,2796.0,722.0,2668.0,11733.0,5113.0,4009,6003,18456.0,4134
3,Pankow,305,Südliches Weißensee,3050919,Gustav-Adolf-Straße,5140,324.0,349.0,106.0,428.0,1385.0,779.0,675,1094,2664.0,478
3,Pankow,305,Südliches Weißensee,3050920,Weißer See,7517,490.0,714.0,164.0,505.0,2251.0,1104.0,843,1446,3950.0,713
3,Pankow,305,Südliches Weißensee,3050923,Weißenseer Spitze,9762,759.0,724.0,184.0,831.0,4058.0,1332.0,947,927,4739.0,1562
3,Pankow,305,Südliches Weißensee,3050924,Behaimstraße,6287,498.0,602.0,139.0,579.0,2426.0,913.0,626,504,3081.0,1042
3,Pankow,305,Südliches Weißensee,3050925,Komponistenviertel Weißensee,9822,741.0,1037.0,303.0,773.0,3183.0,1583.0,1025,1177,5078.0,1247
3,Pankow,305,Südliches Weißensee,3051017,Rennbahnstraße,4249,223.0,315.0,66.0,467.0,1303.0,665.0,617,593,2049.0,673
3,Pankow,305,Südliches Weißensee,3051021,Buschallee,6591,345.0,421.0,124.0,467.0,1788.0,780.0,786,1880,3489.0,582
3,Pankow,305,Südliches Weißensee,3051022,Hansastraße,4664,315.0,371.0,105.0,319.0,1142.0,585.0,633,1194,2558.0,315
3,Pankow,306,Nördlicher Prenzlauer Berg,3061126,Arnimplatz,15939,1075.0,1148.0,264.0,1549.0,7133.0,2418.0,1145,1207,7843.0,3349
3,Pankow,306,Nördlicher Prenzlauer Berg,3061131,Falkplatz,10597,726.0,854.0,156.0,994.0,4672.0,1911.0,725,559,5231.0,2531
3,Pankow,306,Nördlicher Prenzlauer Berg,3061227,Humannplatz,14641,835.0,945.0,228.0,1288.0,6290.0,2341.0,1196,1518,7502.0,2623
3,Pankow,306,Nördlicher Prenzlauer Berg,3061228,Erich-Weinert-Straße,12803,681.0,653.0,168.0,1186.0,5329.0,1601.0,1255,1930,6575.0,2196
3,Pankow,306,Nördlicher Prenzlauer Berg,3061332,Helmholtzplatz,22757,1594.0,2073.0,501.0,1831.0,9416.0,4628.0,1771,943,11275.0,4931
3,Pankow,306,Nördlicher Prenzlauer Berg,3061429,Greifswalder Straße,10002,387.0,580.0,140.0,718.0,2063.0,1116.0,1097,3901,5452.0,1064
3,Pankow,306,Nördlicher Prenzlauer Berg,3061430,Volkspark Prenzlauer Berg,4055,327.0,410.0,118.0,420.0,1075.0,487.0,402,816,1969.0,1445
3,Pankow,306,Nördlicher Prenzlauer Berg,3061434,Anton-Saefkow-Park,6491,418.0,457.0,81.0,568.0,2881.0,940.0,590,556,3232.0,1361
3,Pankow,306,Nördlicher Prenzlauer Berg,3061435,Conrad-Blenkle-Straße,4020,238.0,240.0,82.0,423.0,1603.0,537.0,407,490,1996.0,796
3,Pankow,306,Nördlicher Prenzlauer Berg,3061441,Eldenaer Straße,2741,304.0,491.0,72.0,134.0,944.0,438.0,152,206,1382.0,401
3,Pankow,307,Südlicher Prenzlauer Berg,3071536,Teutoburger Platz,11281,760.0,994.0,283.0,1049.0,4511.0,2265.0,899,520,5508.0,2834
