bez_id,pgr_id,plr_id,total,under_6,6-15,15-18,18-27,27-45,45-55,55-65,65_or_more,female,foreigner
04,0420,04200310,7618.0,322,515,184,748,1538,1023,1019,2269,4027,1536
04,0420,04200311,7237.0,336,427,129,865,2057,832,1029,1562,3726,1709
04,0430,04300412,3687.0,193,183,36,467,1278,356,368,806,1816,1417
04,0430,04300413,10011.0,572,788,267,1136,2698,1373,1430,1747,5230,2480
04,0430,04300414,10520.0,522,685,227,1064,2929,1376,1537,2180,5483,2255
04,0430,04300415,6267.0,284,333,107,551,1578,739,936,1739,3358,1354
04,0430,04300416,11650.0,561,714,245,1289,3320,1501,1730,2290,5920,2719
04,0430,04300517,9436.0,461,528,148,1076,3007,1186,1445,1585,4798,2627
04,0430,04300518,5717.0,290,346,113,630,1965,691,789,893,2839,1483
04,0430,04300619,8583.0,413,490,161,826,2449,1080,1205,1959,4459,2164
04,0430,04300620,3397.0,177,202,55,453,1361,414,377,358,1604,1234
04,0430,04300621,10501.0,552,616,170,1030,3132,1343,1435,2223,5409,2851
04,0430,04300622,5150.0,299,342,87,545,1748,583,602,944,2663,1663
04,0430,04300623,11938.0,548,680,234,1522,3690,1541,1573,2150,5840,4127
04,0430,04300624,9175.0,406,445,159,1026,2602,1213,1392,1932,4660,2569
04,0440,04400725,107.0,3,,,12,46,25,9,12,40,65
04,0440,04400726,5298.0,277,494,158,386,1037,710,707,1529,2715,1209
04,0440,04400727,8251.0,400,554,148,760,2055,1093,1217,2024,4393,1774
04,0440,04400728,3066.0,167,242,70,190,577,415,439,966,1638,587
04,0440,04400729,2832.0,147,205,78,224,432,365,430,951,1502,566
04,0440,04400830,7100.0,426,607,204,570,1665,846,918,1864,3791,1464
04,0440,04400831,1510.0,51,137,42,115,192,216,221,536,808,205
04,0440,04400832,6813.0,307,462,138,540,1207,972,1071,2116,3771,857
04,0440,04400833,4119.0,186,252,62,265,824,442,638,1450,2189,790
04,0440,04400834,3512.0,150,236,61,317,783,431,556,978,1853,581
04,0440,04400835,10341.0,474,709,245,889,2228,1407,1670,2719,5612,1596
04,0450,04500936,5499.0,262,346,107,562,1390,743,802,1287,2828,1413
04,0450,04500937,7503.0,328,396,131,676,1994,982,1155,1841,3845,1801
04,0450,04500938,7894.0,411,498,126,683,2217,983,1091,1885,4071,2094
04,0450,04500939,6461.0,352,425,143,634,1793,825,940,1349,3373,1603
04,0450,04501040,5865.0,272,344,130,506,1547,785,950,1331,3022,1465
04,0450,04501041,5175.0,223,292,99,384,1182,759,883,1353,2628,1250
04,0450,04501042,3492.0,158,233,79,324,951,500,477,770,1697,1264
04,0450,04501043,10890.0,509,710,202,957,2901,1332,1622,2657,5578,2766
04,0450,04501044,5224.0,253,317,92,497,1311,616,749,1389,2725,1308
04,0450,04501045,9019.0,368,497,147,780,2379,1243,1345,2260,4561,2603
04,0450,04501146,4456.0,287,285,79,481,1292,546,615,871,2282,1094
04,0450,04501147,5471.0,273,386,125,607,1531,704,802,1043,2790,1361
04,0450,04501148,4291.0,234,335,86,450,1177,533,609,867,2202,1029
04,0450,04501149,9732.0,482,633,213,905,2466,1219,1440,2374,5085,2311
04,0450,04501150,3038.0,112,167,49,270,816,368,419,837,1615,689
04,0450,04501151,7338.0,342,528,167,753,2001,980,1046,1521,3792,1323
04,0450,04501152,6756.0,248,411,120,640,1709,914,967,1747,3402,1734
04,0450,04501153,7353.0,401,509,162,739,2258,901,972,1411,3667,1840
05,0510,05100101,4126.0,285,337,102,311,878,462,625,1126,2221,312
05,0510,05100102,4264.0,207,265,80,362,844,477,686,1343,2297,594
05,0510,05100103,5922.0,592,509,101,640,1968,623,629,860,2974,1718
05,0510,05100104,4955.0,333,506,136,409,1306,580,591,1094,2580,1078
05,0510,05100105,7511.0,338,493,184,638,1650,928,1283,1997,3859,722
05,0510,05100206,3552.0,220,433,150,339,711,361,457,881,1894,871
05,0510,05100207,2298.0,104,134,55,252,500,299,502,452,1190,252
05,0510,05100208,10744.0,755,1043,329,1001,2505,1222,1345,2544,5514,2799
05,0510,05100209,11756.0,750,1189,366,1194,2788,1389,1599,2481,6133,2882
05,0510,05100210,7666.0,455,613,142,785,2164,995,1113,1399,3961,1855
05,0510,05100211,6015.0,290,452,168,514,1206,803,983,1599,3036,997
05,0510,05100312,4030.0,232,326,79,531,1141,506,539,676,2032,1119
05,0510,05100313,6134.0,403,610,201,583,1453,677,655,1552,3222,1797
05,0510,05100314,7362.0,538,728,225,926,2319,897,865,864,3440,3267
05,0510,05100315,6878.0,468,572,171,863,2030,843,952,979,3336,2074
05,0510,05100316,10259.0,645,775,251,1123,2971,1323,1451,1720,5233,2413
05,0510,05100317,3575.0,241,355,104,390,1018,440,432,595,1730,1319
05,0520,05200418,3824.0,159,341,133,372,635,590,922,672,1894,262
05,0520,05200419,1664.0,70,100,33,127,332,192,301,509,868,21
05,0520,05200420,5770.0,272,439,153,546,1082,753,1067,1458,2893,871
05,0520,05200421,4295.0,284,416,133,440,1028,528,480,986,2176,756
05,0520,05200422,1095.0,76,115,25,151,284,155,178,111,534,104
05,0520,05200423,6583.0,444,599,165,573,1543,675,836,1748,3548,1303
05,0520,05200524,3319.0,179,371,135,340,720,513,522,539,1706,377
05,0520,05200525,2414.0,151,207,45,144,576,344,385,562,1254,222
05,0520,05200526,5644.0,413,741,206,575,1407,643,621,1038,2847,2224
05,0520,05200527,11602.0,1005,1673,510,1285,2623,1340,1242,1924,5997,4093
05,0520,05200528,7009.0,358,459,155,584,1337,760,1159,2197,3637,951
05,0520,05200629,8167.0,506,538,160,922,2244,948,987,1862,4144,2118
05,0520,05200630,9771.0,558,740,228,1040,2710,1305,1377,1813,4945,2342
05,0520,05200631,8435.0,459,577,180,930,2464,1053,1258,1514,4220,2120
05,0520,05200632,3673.0,217,403,115,362,873,470,530,703,1826,1083
05,0520,05200633,2006.0,104,167,52,133,356,228,282,684,1117,258
05,0520,05200634,4402.0,164,222,94,284,621,517,726,1774,2280,382
05,0530,05300735,2912.0,319,282,86,484,979,351,244,167,1426,658
05,0530,05300736,3651.0,317,514,159,352,973,505,423,408,1846,861
05,0530,05300737,11550.0,714,833,237,1087,3018,1363,1664,2634,6028,2654
05,0530,05300838,33.0,,,,3,9,12,9,,6,15
05,0530,05300839,7595.0,432,721,255,823,1880,1035,1041,1408,3754,2270
05,0530,05300840,466.0,22,29,12,34,137,59,68,105,236,120
05,0530,05300841,4543.0,274,320,102,564,1452,506,555,770,2202,1259
05,0540,05400942,3685.0,141,310,123,300,544,480,649,1138,1843,329
05,0540,05400943,10400.0,659,1243,381,715,1891,1634,1552,2325,5285,640
05,0540,05400944,2180.0,89,184,70,139,275,257,390,776,1124,149
05,0540,05400945,3661.0,180,339,110,242,558,427,590,1215,1883,233
06,0610,06100101,6858.0,279,462,193,653,1301,874,1017,2079,3700,937
06,0610,06100102,8843.0,534,684,142,830,2523,1131,1265,1734,4617,1771
06,0610,06100103,6168.0,349,423,128,590,1753,867,882,1176,3319,1000
06,0610,06100204,6838.0,333,449,173,719,1713,886,1007,1558,3564,1280
06,0610,06100205,9869.0,553,715,211,990,2688,1255,1483,1974,5194,1738
06,0610,06100206,7686.0,379,523,172,745,1876,966,1101,1924,4109,1254
06,0610,06100207,7876.0,452,490,149,783,2156,978,1086,1782,4148,1411
06,0610,06100208,6816.0,363,481,115,693,1910,820,1008,1426,3480,1143
06,0610,06100209,9241.0,516,598,162,874,2739,1187,1259,1906,4967,1804
06,0610,06100210,4865.0,257,369,79,441,1344,624,743,1008,2576,798
06,0620,06200311,4907.0,237,367,111,385,995,626,701,1485,2613,569
06,0620,06200312,6092.0,337,445,147,532,1299,728,844,1760,3121,1159
06,0620,06200313,7380.0,411,527,123,648,2082,897,1085,1607,3933,1307
06,0620,06200314,7207.0,423,499,140,633,1902,969,1039,1602,3772,1138
06,0620,06200315,5953.0,319,530,131,475,1335,778,897,1488,3160,950
06,0620,06200316,5328.0,294,387,158,624,1253,593,680,1339,2854,1219
06,0620,06200317,6360.0,340,467,163,515,1131,880,1081,1783,3297,621
06,0620,06200418,3.0,,,,,,3,,,,3
06,0620,06200419,4594.0,229,408,112,478,1129,465,554,1219,2314,1221
06,0620,06200420,7138.0,376,558,181,587,1506,919,1080,1931,3736,1153
06,0620,06200421,8309.0,425,608,219,713,1603,1053,1180,2508,4423,1281
06,0620,06200422,7084.0,361,549,192,639,1350,947,1053,1993,3766,926
06,0620,06200423,8576.0,445,811,246,673,1517,1088,1301,2495,4584,1145
06,0630,06300524,5702.0,210,502,184,557,924,735,846,1744,2914,877
06,0630,06300525,5654.0,299,421,123,492,1255,780,865,1419,3127,780
06,0630,06300526,3317.0,193,306,100,306,674,456,517,765,1698,580
06,0630,06300527,8337.0,383,570,164,781,1859,1040,1336,2204,4508,1217
06,0630,06300528,10997.0,433,975,360,791,1717,1475,1614,3632,5922,1238
06,0630,06300629,7054.0,313,496,166,656,1681,965,1028,1749,3685,1068
06,0630,06300630,5630.0,319,450,160,647,1389,707,810,1148,2892,1425
06,0630,06300631,2969.0,126,254,79,464,657,410,375,604,1503,716
06,0630,06300632,13824.0,736,1445,463,1202,2728,2129,2047,3074,7009,1870
06,0630,06300633,11981.0,574,976,338,1037,2543,1577,1905,3031,6244,1683
06,0630,06300634,8451.0,410,772,290,687,1456,1189,1263,2384,4529,1068
06,0640,06400735,10122.0,471,1011,277,695,1587,1492,1579,3010,5167,1287
06,0640,06400736,5237.0,272,532,187,401,813,751,789,1492,2742,465
06,0640,06400737,11237.0,441,986,333,1475,2007,1340,1543,3112,5756,2290
06,0640,06400838,7413.0,360,612,215,557,1023,966,1276,2404,3928,665
06,0640,06400839,5209.0,206,443,158,417,809,711,848,1617,2832,570
06,0640,06400840,7170.0,277,600,247,626,1063,1035,1193,2129,3911,589
06,0640,06400841,6001.0,287,451,186,495,1095,708,792,1987,3374,754
06,0640,06400842,4808.0,315,596,193,396,950,867,663,828,2482,714
06,0640,06400843,4797.0,211,444,186,450,706,695,813,1292,2512,831
06,0640,06400844,7234.0,343,674,251,661,1293,984,974,2054,3772,1269
07,0710,07100101,9719.0,413,535,155,748,2572,1406,1492,2398,4641,2685
07,0710,07100102,8477.0,424,543,177,933,2419,1168,1247,1566,3854,2825
07,0710,07100103,7675.0,405,562,233,844,2169,1119,1139,1204,3620,2751
07,0710,07100204,10410.0,543,654,219,1019,3114,1404,1586,1871,5167,2476
07,0710,07100205,5154.0,242,426,160,553,1533,712,693,835,2496,1955
07,0710,07100206,8304.0,522,558,171,859,2707,1188,1262,1037,3978,2463
07,0720,07200307,10501.0,497,634,208,968,2740,1448,1614,2392,5353,2064
07,0720,07200308,10436.0,636,734,212,1080,3499,1322,1278,1675,5124,2879
07,0720,07200409,9251.0,481,603,179,869,2783,1321,1507,1508,4702,1971
07,0720,07200410,5619.0,369,439,144,683,1893,659,655,777,2750,1759
07,0720,07200411,2763.0,161,174,62,281,916,369,432,368,1362,697
07,0720,07200412,1706.0,160,107,24,365,792,112,89,57,841,645
07,0720,07200413,7753.0,441,513,145,731,2781,1046,1203,893,3909,1570
07,0720,07200414,3723.0,224,299,47,400,1342,506,494,411,1877,816
07,0730,07300515,6809.0,347,494,168,565,1663,945,1101,1526,3651,845
07,0730,07300516,8808.0,421,636,254,898,2270,1240,1386,1703,4684,1441
07,0730,07300517,9180.0,560,784,247,891,2156,1189,1331,2022,4942,1646
07,0730,07300618,9307.0,519,663,231,902,2390,1206,1435,1961,4870,1593
07,0730,07300619,12234.0,781,982,295,1295,3587,1580,1737,1977,6285,2847
07,0740,07400720,11909.0,613,883,252,1097,3229,1564,1821,2450,6211,2398
07,0740,07400721,5375.0,333,631,188,542,1147,713,823,998,2761,750
07,0740,07400822,2288.0,118,185,51,161,507,302,378,586,1166,248
07,0740,07400823,9702.0,595,656,188,933,2895,1138,1374,1923,5129,1843
07,0740,07400824,7264.0,475,516,126,786,2233,872,876,1380,3708,1650
07,0740,07400825,7361.0,476,514,141,803,2449,954,958,1066,3784,1808
07,0740,07400826,5140.0,267,327,105,426,1197,596,804,1418,2725,695
07,0740,07400927,11225.0,702,835,247,1328,3337,1299,1407,2070,5709,3030
07,0740,07400928,3897.0,275,296,62,439,1506,483,446,390,1868,1418
07,0750,07501029,8044.0,492,575,168,774,2352,945,1103,1635,4057,1749
07,0750,07501030,8716.0,487,670,156,842,2441,1016,1143,1961,4476,1913
07,0750,07501031,9025.0,479,520,179,701,2332,1051,1367,2396,4780,1483
