bez_id,pgr_id,bzr_id,plr_id,total,under_6,6-15,15-18,18-27,27-45,45-55,55-65,65_or_more,female,foreigner
06,0640,8,06400838,7341,289,653,198,590,1040,861,1260,2450,3898,711
06,0640,8,06400839,5370,232,458,160,450,902,661,899,1608,2937,670
06,0640,8,06400840,7080,236,603,232,664,1141,850,1281,2073,3885,672
06,0640,8,06400841,6191,256,499,179,574,1228,621,833,2001,3471,1071
06,0640,8,06400842,4773,251,566,209,394,931,744,783,895,2464,756
06,0640,8,06400843,4690,196,431,176,470,771,579,830,1237,2461,790
06,0640,8,06400844,7263,352,667,257,722,1293,886,1047,2039,3816,1360
07,0710,1,07100101,9794,386,521,159,812,2690,1212,1585,2429,4682,2890
07,0710,1,07100102,8696,365,624,167,962,2559,1062,1223,1734,4054,3093
07,0710,1,07100103,7897,387,610,233,870,2343,1050,1158,1246,3744,3002
07,0710,2,07100204,10425,492,651,218,1066,3188,1238,1615,1957,5199,2704
07,0710,2,07100205,5177,214,387,156,556,1546,692,695,931,2492,1997
07,0710,2,07100206,8355,449,578,189,866,2760,1067,1335,1111,4057,2513
07,0720,3,07200307,10549,452,676,210,1020,2891,1285,1675,2340,5392,2251
07,0720,3,07200308,10698,586,805,219,1147,3647,1268,1279,1747,5281,3180
07,0720,4,07200409,9300,420,595,190,878,2793,1224,1536,1664,4784,2014
07,0720,4,07200410,5538,343,470,168,615,1835,665,628,814,2737,1683
07,0720,4,07200411,2741,163,173,57,232,899,341,413,463,1339,727
07,0720,4,07200412,2611,271,205,41,380,1204,197,159,154,1273,967
07,0720,4,07200413,7708,342,531,150,817,2722,992,1195,959,3926,1676
07,0720,4,07200414,3778,203,313,70,374,1326,490,517,485,1887,870
07,0730,5,07300515,6961,333,512,159,631,1790,842,1179,1515,3743,1047
07,0730,5,07300516,8896,417,621,236,1022,2311,1078,1385,1826,4713,1623
07,0730,5,07300517,10082,613,788,262,1020,2840,1098,1370,2091,5362,2219
07,0730,6,07300618,9243,463,667,207,907,2526,1059,1409,2005,4781,1778
07,0730,6,07300619,12219,690,974,314,1356,3573,1466,1779,2067,6291,3079
07,0740,7,07400720,11668,549,893,284,1032,3217,1443,1837,2413,6007,2519
07,0740,7,07400721,7639,331,809,305,1337,1900,876,937,1144,3416,3099
07,0740,8,07400822,3291,224,326,82,276,1034,341,412,596,1615,855
07,0740,8,07400823,9690,526,679,217,887,2906,1097,1371,2007,5069,1976
07,0740,8,07400824,7387,450,609,167,704,2290,856,933,1378,3758,1808
07,0740,8,07400825,7213,386,555,145,745,2445,865,955,1117,3718,1849
07,0740,8,07400826,5110,224,345,128,445,1289,549,793,1337,2682,829
07,0740,9,07400927,11415,693,783,294,1297,3707,1224,1377,2040,5772,3355
07,0740,9,07400928,3965,268,312,85,417,1579,421,441,442,1934,1577
07,0750,10,07501029,8544,535,659,207,789,2673,918,1115,1648,4332,2185
07,0750,10,07501030,8753,427,637,204,835,2597,977,1086,1990,4488,2102
07,0750,10,07501031,9124,440,585,159,806,2426,966,1329,2413,4812,1718
07,0750,10,07501032,6284,452,511,127,610,1707,643,925,1309,3210,1202
07,0750,11,07501133,8254,414,599,185,826,2147,863,1085,2135,4282,2257
07,0750,11,07501134,10548,572,862,248,850,2186,1068,1534,3228,5600,1677
07,0750,11,07501135,2257,121,161,77,198,408,282,345,665,1131,332
07,0760,12,07601236,10335,590,1133,347,1136,2399,1094,1342,2294,5193,2853
07,0760,12,07601237,4785,244,353,149,432,988,595,769,1255,2346,697
07,0760,12,07601238,2877,156,280,90,255,579,322,348,847,1468,550
07,0760,13,07601339,5721,334,560,156,464,1280,667,693,1567,3120,1077
07,0760,13,07601340,6416,378,544,198,617,1517,725,832,1605,3373,1314
07,0760,13,07601341,2225,126,203,47,163,443,261,357,625,1133,406
07,0760,14,07601442,10408,545,885,259,889,1989,1308,1632,2901,5374,1341
07,0760,14,07601443,10849,513,1046,341,861,2087,1333,1799,2869,5639,1320
07,0760,15,07601544,9262,621,947,291,759,2183,1012,1191,2258,4797,1722
07,0760,15,07601545,8570,481,919,316,979,1872,942,1125,1936,4402,1992
07,0760,15,07601546,6977,336,615,177,622,1361,875,1212,1779,3558,768
07,0760,15,07601547,3828,224,369,106,279,700,413,620,1117,1998,590
07,0760,15,07601548,2896,155,279,80,222,509,321,501,829,1476,299
08,0810,1,08100101,4626,196,290,102,443,1908,575,557,555,2201,1790
08,0810,1,08100102,8181,417,494,171,775,3654,1034,865,771,4009,2985
08,0810,1,08100103,7205,370,426,126,557,3360,947,722,697,3513,2367
08,0810,1,08100104,6699,301,496,152,728,2972,799,694,557,3107,2584
08,0810,1,08100105,6338,406,460,142,755,2682,585,501,807,3169,2382
08,0810,2,08100206,9350,441,598,199,904,4138,1058,986,1026,4585,3599
08,0810,2,08100207,7442,396,746,272,861,2285,991,816,1075,3720,2667
08,0810,2,08100208,11955,565,880,264,1226,5247,1420,1232,1121,5738,4466
08,0810,2,08100209,8834,448,584,215,1101,3582,1006,909,989,4155,3635
08,0810,3,08100310,7560,336,510,189,686,3017,1162,942,718,3859,2429
08,0810,3,08100311,7076,286,410,126,566,3014,1069,880,725,3517,2280
08,0810,3,08100312,11499,566,798,197,1005,4954,1655,1227,1097,5733,3916
08,0810,3,08100313,3740,176,240,79,313,1172,539,546,675,1883,808
08,0810,3,08100314,7930,345,561,176,761,3572,1019,778,718,3799,3194
08,0810,4,08100415,6388,334,441,137,551,2884,729,637,675,3123,2265
08,0810,4,08100416,6577,367,503,138,618,2813,777,651,710,3209,2328
08,0810,4,08100417,9569,511,625,226,986,4274,1121,965,861,4556,3506
08,0810,4,08100418,9193,469,556,218,797,3926,1217,928,1082,4577,2849
08,0810,4,08100419,7192,464,746,240,695,2741,857,711,738,3540,3082
08,0810,5,08100520,5737,426,770,200,723,1657,613,615,733,2773,2317
08,0810,5,08100521,9457,570,1203,413,1127,2394,1160,1183,1407,4597,3086
08,0820,6,08200622,5860,404,555,161,871,2071,674,600,524,2665,2801
08,0820,6,08200623,6692,413,672,214,756,1817,746,863,1211,3242,2324
08,0820,6,08200624,8988,511,703,217,931,2746,989,1213,1678,4565,2594
08,0820,7,08200725,2524,117,209,73,217,533,297,468,610,1226,377
08,0820,7,08200726,6109,331,554,167,527,1420,787,950,1373,3120,963
